lat,lon,expiry_days_left,distance_mm,time_to_migrate_s,sample_volume_uL,sample_pH,sample_turbidity_NTU,sample_temp_C,ambient_T_C,ambient_RH_pct,lighting_lux,tilt_deg,preincubation_time_s,time_since_sampling_min,image_blur_score,tempo_transporte_horas,estimated_concentration_ppb,incerteza_estimativa_ppb,control_line_ok,controle_interno_result,result_class
-22.896994,-43.404009,422,33.22,527.0,48.3,7.41,7.1,22.5,28.2,67.2,351.6,1.0,18.5,49.0,0.0,4.81,37.44,6.56,1,2,invalid
-22.876923,-43.217293,57,21.04,446.3,54.4,8.18,40.9,29.5,22.9,34.1,351.0,1.1,26.9,108.1,0.0,34.67,29.38,5.19,1,2,negative
-22.89669,-43.396441,124,12.02,436.4,53.3,6.08,39.0,20.3,27.7,59.3,330.3,0.4,27.3,42.9,0.0,30.08,8.64,1.39,1,2,negative
-22.870278,-43.25049,510,23.28,121.9,57.4,6.17,10.1,21.7,28.9,39.8,415.9,1.2,38.7,6.7,0.0,11.95,28.03,3.48,1,2,invalid
-22.881684,-43.231821,141,12.61,319.7,59.3,6.73,24.3,14.5,27.2,37.5,359.9,1.7,13.4,34.0,0.0,3.18,14.08,1.1,1,2,negative
-22.982165,-43.238296,371,31.27,329.7,66.0,6.82,12.9,21.1,24.9,71.7,397.7,0.0,0.7,68.7,0.0,12.39,39.13,6.09,1,2,positive
-22.877003,-43.208676,106,25.88,198.0,43.4,7.45,18.7,23.0,31.7,60.8,620.8,0.4,42.7,65.1,0.296,20.06,33.24,6.11,1,2,invalid
-22.861994,-43.229905,469,22.92,464.5,75.8,7.05,55.9,16.9,31.4,36.2,325.0,1.5,29.3,50.7,0.168,15.89,26.69,5.04,1,2,positive
-22.871812,-43.21938,393,21.29,537.2,71.3,7.23,24.8,27.0,34.9,62.8,446.6,2.2,33.3,51.1,0.0,5.42,27.15,2.25,1,2,positive
-22.874353,-43.250213,405,35.83,513.6,60.5,6.75,17.0,23.5,21.0,66.8,352.0,3.1,20.4,6.4,0.26,6.75,39.29,2.6,1,2,positive
-22.871969,-43.24019,74,16.07,319.9,52.4,7.84,40.9,16.9,25.9,81.8,407.8,0.1,33.0,70.4,0.146,9.31,17.78,1.97,1,2,negative
-22.978269,-43.230729,94,18.83,148.8,72.2,6.58,15.5,23.9,28.2,39.5,548.1,1.4,16.6,17.6,0.0,9.54,25.21,5.03,1,2,invalid
-22.868325,-43.224734,459,16.65,118.6,60.1,6.14,12.2,21.9,25.8,57.0,451.6,2.3,22.1,72.8,0.179,13.76,17.24,1.92,1,2,invalid
-22.872068,-43.239667,45,20.85,301.2,67.6,6.83,23.1,22.8,22.7,71.0,506.0,4.2,41.9,211.1,0.32,6.4,26.08,1.6,1,2,negative
-22.901372,-43.396165,114,24.25,663.6,60.7,6.94,14.8,19.1,24.9,28.0,299.5,0.9,19.3,27.2,0.0,6.2,28.86,4.92,1,2,positive
-22.883733,-43.253578,302,27.13,596.9,69.2,7.09,38.1,18.1,21.8,59.6,280.6,3.4,34.6,38.8,0.0,11.14,32.65,4.67,1,2,positive
-22.883063,-43.222126,487,29.92,380.8,80.6,7.09,19.0,23.8,25.0,79.0,237.0,0.5,28.6,162.4,0.242,28.25,37.6,5.5,1,2,positive
-22.862533,-43.239524,529,31.72,407.6,68.2,7.23,32.0,19.2,23.3,23.0,419.0,3.3,39.2,27.7,0.0,8.75,36.47,7.03,1,2,positive
-22.980125,-43.233653,342,31.58,493.8,59.0,6.3,9.1,20.6,18.9,37.9,325.0,1.1,25.4,62.9,0.0,11.21,37.57,2.32,1,2,positive
-22.864978,-43.228945,116,17.0,676.5,68.7,7.84,23.7,23.5,25.8,66.2,363.5,2.2,31.1,46.5,0.0,3.98,17.45,2.13,1,2,negative
-22.908725,-43.395601,463,21.65,608.0,68.4,7.06,38.2,22.5,29.8,64.4,320.7,4.8,28.9,13.8,0.0,14.75,26.87,3.32,1,2,positive
-22.873519,-43.246513,140,20.87,360.6,62.5,6.78,3.0,25.2,28.7,47.1,232.0,0.1,26.5,127.5,0.0,21.26,25.12,3.17,1,2,positive
-22.866242,-43.249295,531,20.98,615.3,67.0,6.91,10.1,15.4,33.4,74.0,331.7,0.7,34.1,47.1,0.0,17.72,22.41,3.53,1,2,negative
-22.986792,-43.229911,192,21.22,347.6,62.4,8.1,13.7,20.4,20.8,61.8,186.1,1.7,18.5,38.4,0.0,6.13,29.01,2.93,1,2,negative
-22.985372,-43.237531,319,17.72,590.3,77.2,7.29,12.8,17.6,22.2,61.0,435.1,0.1,49.0,101.8,0.137,18.41,22.21,3.37,0,2,invalid
-22.878449,-43.215554,152,18.5,545.9,63.4,7.17,0.9,28.5,22.1,66.8,460.5,1.9,20.3,80.5,0.0,6.39,21.79,3.41,1,2,negative
-22.979461,-43.229942,151,20.42,420.8,64.1,6.48,26.0,13.3,24.8,56.7,348.0,3.9,36.5,26.1,0.0,14.87,28.09,5.15,1,2,negative
-22.893193,-43.397143,355,24.21,527.1,78.9,7.88,73.7,17.5,30.2,79.3,466.7,1.8,22.2,45.2,0.0,6.76,31.85,2.21,1,2,positive
-22.868505,-43.24603,425,25.24,337.8,82.7,7.56,19.9,21.5,22.7,91.2,434.3,1.3,21.6,82.2,0.0,3.22,31.59,5.74,1,2,positive
-22.978325,-43.238598,165,24.78,558.7,88.5,5.29,10.8,13.5,19.1,53.8,405.0,2.2,25.4,126.6,0.0,7.97,32.48,6.23,1,2,positive
-22.863286,-43.244814,329,30.87,356.8,54.0,7.78,14.2,23.1,19.2,39.7,143.0,2.5,26.0,75.6,0.0,4.9,43.1,8.2,1,2,positive
-22.898542,-43.411216,284,26.99,306.9,70.0,6.22,30.6,21.8,28.7,41.9,357.3,3.4,19.8,68.4,0.0,25.45,34.52,3.49,1,2,positive
-22.864405,-43.225007,237,15.21,436.5,90.1,6.61,35.3,26.3,26.6,50.5,349.5,6.1,26.3,102.0,0.425,13.98,11.92,2.05,1,2,negative
-22.875937,-43.224677,400,16.63,345.6,65.1,8.79,3.3,21.0,32.6,38.8,332.6,2.0,20.5,125.3,0.0,11.51,15.24,0.88,1,2,negative
-22.863251,-43.223362,335,26.55,483.3,65.6,5.6,2.5,25.7,21.5,47.1,186.0,0.2,18.8,45.9,0.0,14.21,35.59,5.28,1,2,positive
-22.878747,-43.224555,220,26.58,278.1,56.1,6.82,12.1,22.1,23.9,59.9,314.8,2.0,49.1,53.9,0.0,10.58,33.28,2.48,1,2,positive
-22.986099,-43.231493,149,26.32,394.2,63.3,7.54,13.8,18.7,30.1,51.4,346.4,5.3,53.1,45.3,0.334,5.02,31.79,3.56,1,2,positive
-22.87626,-43.207113,267,18.95,187.3,83.2,6.15,11.3,24.8,26.5,40.5,112.8,2.3,26.4,36.8,0.0,3.44,17.33,0.93,1,2,negative
-22.978236,-43.23496,513,26.53,610.2,77.8,8.04,5.5,22.7,22.7,40.7,185.3,5.0,25.7,79.3,0.0,10.43,31.75,4.33,1,2,positive
-22.972613,-43.232971,186,26.04,470.8,72.2,6.82,15.6,20.2,21.4,71.1,309.9,1.4,26.1,34.0,0.424,2.53,33.61,3.1,1,2,positive
-22.872838,-43.223944,356,28.12,435.5,46.8,6.86,5.9,19.3,23.0,57.8,421.6,2.6,43.0,94.2,0.182,0.5,36.52,5.69,1,2,invalid
-22.902536,-43.401659,98,28.48,177.8,78.8,8.57,9.4,17.4,24.3,88.9,457.3,5.5,25.0,124.8,0.0,9.57,37.06,3.98,1,2,invalid
-22.860292,-43.218968,132,10.64,462.6,60.6,7.81,11.9,26.7,25.0,81.7,363.4,0.9,29.8,26.0,0.0,8.79,10.94,1.79,1,2,negative
-22.991561,-43.232262,290,15.17,628.8,67.0,7.16,25.2,20.8,23.8,33.1,238.8,2.4,17.3,130.4,0.0,21.96,15.29,1.08,1,2,negative
-22.975315,-43.234039,15,18.78,506.1,82.8,6.23,14.7,22.6,26.2,44.7,360.5,0.4,37.9,155.5,0.0,9.14,19.77,1.24,1,2,negative
-22.974569,-43.227116,160,26.13,381.2,53.9,5.23,12.2,24.2,27.4,76.7,345.2,1.5,29.2,33.3,0.0,3.3,32.86,4.95,1,2,positive
-22.874111,-43.224617,86,14.53,412.2,67.8,5.97,6.1,20.2,18.2,72.2,310.1,0.9,28.7,109.2,0.0,2.64,9.29,1.14,1,2,negative
-22.879665,-43.22115,412,14.55,480.3,67.9,6.37,25.3,18.6,27.9,58.3,335.2,4.0,14.9,140.3,0.0,15.44,14.49,1.93,0,2,invalid
-22.872887,-43.23993,460,28.11,394.3,78.5,6.95,13.7,24.6,15.0,63.2,238.3,0.6,29.4,45.4,0.0,10.99,34.97,3.89,1,2,positive
-22.908078,-43.399389,200,25.86,275.0,77.4,7.19,26.7,21.5,20.1,46.8,292.7,1.4,42.9,115.3,0.0,17.09,35.21,3.99,1,2,positive
-22.867735,-43.249042,292,29.75,452.4,72.5,5.91,11.1,20.6,32.0,42.4,88.9,4.2,19.8,55.4,0.23,0.86,36.03,5.18,1,2,positive
-22.901076,-43.395743,181,24.48,268.5,75.0,6.46,13.8,19.1,26.6,46.1,455.5,1.5,26.4,129.1,0.127,2.63,30.11,4.67,1,2,positive
-22.875624,-43.217538,222,23.38,172.6,64.9,7.51,54.6,19.0,22.9,66.9,264.8,3.0,29.2,43.1,0.0,9.12,29.23,4.97,1,2,invalid
-22.868209,-43.213406,484,30.43,575.2,87.2,8.11,20.5,19.0,28.4,50.1,410.7,1.3,25.9,55.3,0.0,9.82,37.22,4.77,1,2,positive
-22.906242,-43.392595,76,13.78,597.3,70.1,6.27,14.6,21.5,17.5,58.4,268.3,4.3,20.1,198.5,0.313,6.1,11.77,1.78,1,2,negative
-22.87496,-43.246872,42,24.87,466.3,66.2,6.79,3.1,26.3,19.6,80.8,308.2,0.1,27.2,23.0,0.0,9.76,31.76,2.82,1,0,positive
-22.856648,-43.23244,444,16.22,550.3,65.6,8.41,16.8,22.7,21.1,41.2,129.6,2.2,39.0,96.1,0.0,5.24,15.54,0.78,1,2,negative
-22.876082,-43.247069,14,15.22,398.7,72.7,5.74,6.5,26.4,24.0,75.1,383.3,3.5,35.4,42.5,0.0,19.96,14.44,2.3,1,2,negative
-22.87087,-43.220115,98,31.98,334.3,65.5,6.82,21.2,20.1,28.2,62.5,491.5,6.4,27.7,65.9,0.0,7.43,38.12,2.59,1,2,positive
-22.981729,-43.229842,326,21.39,507.8,64.3,7.65,19.4,20.5,25.6,79.0,533.3,1.6,32.4,14.3,0.0,29.1,25.5,3.14,1,2,positive
-22.866229,-43.21994,428,14.35,443.8,67.4,7.89,24.9,23.5,20.9,64.8,465.4,1.8,14.3,101.0,0.0,26.06,12.03,1.06,1,2,negative
-22.974788,-43.23629,128,19.12,376.9,61.1,8.39,50.5,21.4,23.8,40.5,397.6,4.7,40.8,127.4,0.172,9.25,22.97,1.89,1,2,negative
-22.858423,-43.240203,464,23.31,429.7,71.0,7.26,20.8,22.8,21.1,50.7,409.4,1.1,39.0,30.4,0.0,30.74,35.87,2.03,1,2,positive
-22.869541,-43.215395,453,9.09,496.3,91.1,6.89,43.6,17.1,27.6,68.9,237.1,1.4,33.7,59.2,0.0,5.75,7.85,0.73,1,2,negative
-22.865175,-43.238905,282,23.78,267.2,76.2,7.02,42.2,18.9,25.6,96.4,430.9,2.5,21.8,47.4,0.0,9.66,30.31,4.42,1,2,positive
-22.873048,-43.241405,474,9.59,302.7,65.7,6.74,13.5,25.7,23.2,77.1,326.5,0.8,24.4,7.9,0.0,10.4,2.48,0.5,1,2,negative
-22.865335,-43.235392,187,19.11,283.6,73.0,6.67,12.8,20.9,24.4,57.6,452.9,3.5,9.5,70.1,0.0,32.79,26.31,1.69,1,2,negative
-22.872391,-43.240748,216,19.27,496.7,67.3,8.47,15.1,27.1,22.3,73.8,695.8,1.0,31.2,26.5,0.0,9.33,21.0,1.39,1,2,negative
-22.863615,-43.224549,18,32.42,382.8,69.5,6.67,41.9,19.0,26.6,72.8,304.8,1.9,11.9,48.9,0.239,8.81,38.51,1.94,1,2,positive
-22.868055,-43.213913,477,26.69,549.1,67.9,6.07,2.9,23.0,17.8,51.0,334.4,3.0,5.7,14.9,0.0,3.41,30.96,4.94,1,2,positive
-22.874311,-43.216332,119,27.8,431.1,81.1,6.78,12.8,18.4,23.2,43.3,395.7,2.8,14.1,41.8,0.0,11.33,34.3,4.48,1,2,positive
-22.905261,-43.408026,402,28.05,263.7,92.3,7.07,37.0,27.6,27.0,63.4,289.1,6.5,23.7,56.8,0.0,7.08,34.8,5.99,1,2,positive
-22.871906,-43.217482,17,20.95,192.6,70.5,9.51,29.5,22.3,22.6,66.0,295.8,1.0,22.9,138.0,0.0,18.7,24.59,2.07,1,2,positive
-22.871583,-43.215453,399,23.73,447.3,57.5,6.06,22.9,24.7,19.3,59.2,372.5,2.2,37.0,36.8,0.0,5.23,30.96,3.81,1,2,positive
-22.876312,-43.249362,424,14.92,527.3,69.2,6.34,21.1,13.6,20.3,15.7,341.8,3.3,36.8,41.3,0.0,0.74,16.1,1.52,1,2,negative
-22.870853,-43.216002,144,16.89,455.5,62.6,8.05,13.5,21.7,25.6,65.0,259.6,2.6,23.7,5.8,0.0,5.71,17.77,3.11,1,2,negative
-22.861812,-43.229453,47,18.78,369.1,79.7,6.84,51.1,27.5,27.7,57.0,166.7,0.3,19.5,146.8,0.0,17.73,25.36,2.12,1,2,negative
-22.981078,-43.229065,314,27.31,446.0,65.0,6.48,17.0,22.4,29.4,77.4,332.7,3.4,21.1,32.2,0.0,7.44,31.93,6.04,1,2,positive
-22.873496,-43.246757,48,26.39,378.9,74.5,5.17,4.1,20.7,30.9,63.4,595.8,3.9,23.8,47.1,0.0,1.91,32.91,4.9,1,2,positive
-22.859084,-43.232471,177,25.27,264.2,70.7,6.57,16.4,23.1,33.9,66.6,559.7,1.0,28.3,29.8,0.0,8.94,32.48,3.03,1,2,positive
-22.866964,-43.237919,423,28.93,421.3,86.6,7.25,13.5,22.2,20.2,60.1,386.0,3.2,19.5,96.8,0.0,3.8,35.31,4.41,1,2,positive
-22.870033,-43.251899,383,24.29,450.5,99.4,7.03,16.3,16.7,20.4,42.3,389.3,1.7,42.5,75.5,0.0,4.25,26.63,2.93,1,2,positive
-22.904606,-43.389955,496,25.0,484.4,83.0,6.6,23.1,17.7,27.2,54.6,554.2,1.2,33.9,12.0,0.0,33.23,27.99,2.78,1,2,positive
-22.878185,-43.232883,101,19.86,537.7,77.7,7.41,11.1,14.9,32.0,58.5,435.1,1.9,25.4,20.4,0.0,8.88,20.49,1.55,1,2,positive
-22.851951,-43.235527,219,21.53,461.4,58.4,8.56,16.8,22.5,23.4,37.6,267.9,1.2,34.9,25.8,0.277,11.1,27.99,3.84,1,2,positive
-22.9757,-43.234643,473,36.29,466.0,87.6,8.34,21.2,16.4,24.2,58.7,369.4,3.5,48.0,42.7,0.0,24.38,40.7,6.32,1,2,positive
-22.881297,-43.220927,399,23.88,589.0,68.8,8.05,22.8,23.6,28.0,62.2,359.6,2.0,18.8,18.5,0.039,9.83,33.69,2.27,1,2,positive
-22.875704,-43.235202,169,15.39,308.2,63.5,7.54,10.8,29.0,29.4,84.3,353.2,2.1,42.1,41.3,0.0,3.09,17.08,1.68,1,2,negative
-22.865245,-43.22601,247,27.32,351.6,83.1,7.19,37.8,31.4,27.3,86.7,86.7,4.3,27.4,52.0,0.251,11.85,34.56,6.02,1,2,positive
-22.868172,-43.249159,71,16.77,243.7,60.1,6.7,31.6,26.8,27.8,56.2,490.9,2.9,16.5,141.4,0.135,1.37,21.46,1.39,1,2,negative
-22.900673,-43.405911,397,13.43,436.7,60.1,5.82,35.0,28.5,29.8,30.9,333.5,7.0,29.5,28.2,0.0,23.71,16.05,2.07,1,2,negative
-22.856201,-43.222608,521,31.21,271.4,67.8,6.0,6.1,28.8,28.7,63.6,323.5,0.5,32.6,88.7,0.107,2.4,37.64,3.8,1,2,positive
-22.977869,-43.2271,363,14.51,340.4,61.7,8.23,22.1,23.8,19.5,42.3,423.5,0.9,25.0,60.2,0.271,11.09,11.59,0.93,1,2,negative
-22.854555,-43.243407,315,32.24,556.1,61.7,7.46,19.0,14.7,23.7,48.1,515.6,3.2,27.2,69.0,0.0,9.74,37.02,6.86,1,2,positive
-22.865187,-43.2323,354,22.01,283.1,80.0,6.47,4.4,24.1,24.3,74.3,439.1,2.7,27.3,60.8,0.0,5.56,20.92,2.9,1,2,positive
-22.980612,-43.230394,526,18.6,457.4,69.4,5.48,8.6,20.2,25.0,56.1,391.5,0.9,19.2,188.4,0.0,8.81,25.34,3.08,0,2,invalid
-22.857389,-43.234033,450,13.69,334.1,69.6,6.55,16.1,20.6,21.0,51.3,454.9,3.6,15.8,59.6,0.041,7.83,15.96,1.55,1,2,negative
-22.87853,-43.213459,142,19.99,275.9,61.0,6.13,20.6,21.6,25.6,46.1,505.0,2.5,29.1,138.2,0.221,0.74,24.02,3.01,1,2,positive
-22.901103,-43.399949,143,21.77,561.3,67.0,7.27,12.1,21.3,28.2,45.2,278.3,0.6,38.7,141.1,0.0,34.35,28.38,5.58,1,2,negative
-22.859074,-43.223706,230,21.98,188.3,68.5,6.76,9.4,15.8,31.3,74.6,359.9,2.8,28.6,33.8,0.572,4.5,26.82,2.22,1,2,positive
-22.874985,-43.21677,215,26.92,493.6,77.0,5.7,13.8,23.3,31.4,44.9,517.8,4.4,32.5,154.4,0.151,16.61,36.45,4.64,1,2,positive
-22.87071,-43.222364,229,30.84,262.3,70.0,6.88,8.2,22.7,20.8,84.1,356.9,4.3,16.9,31.7,0.0,17.62,36.28,6.77,1,2,positive
-22.873725,-43.21976,80,22.4,404.4,67.0,6.58,1.3,20.7,21.1,51.3,391.1,4.2,38.9,34.2,0.0,18.58,26.72,5.03,1,2,positive
-22.864954,-43.217829,147,15.19,200.6,85.7,7.95,9.5,24.4,27.8,49.9,125.4,0.1,28.8,66.7,0.0,6.0,14.66,2.92,1,2,negative
-22.867087,-43.217298,69,21.68,450.1,77.0,7.54,9.9,20.6,28.2,49.8,160.8,0.2,16.9,42.4,0.0,7.48,23.11,4.1,1,2,positive
-22.900522,-43.39675,188,31.17,185.9,52.5,6.05,4.4,25.0,22.7,84.5,383.1,2.9,11.1,16.7,0.406,8.46,37.69,4.26,1,2,positive
-22.981232,-43.225048,11,24.87,496.3,60.5,7.12,11.1,22.5,22.0,43.5,321.8,3.1,35.5,55.4,0.0,20.5,29.16,4.01,0,2,invalid
-22.874186,-43.244668,25,19.58,531.1,66.2,5.84,6.5,26.2,26.1,42.3,400.4,3.2,34.8,79.2,0.478,7.77,24.24,1.63,1,1,negative
-22.866537,-43.220207,391,33.19,388.4,71.2,7.5,10.8,27.9,27.6,78.7,489.9,1.0,26.5,29.4,0.0,20.63,38.42,6.83,1,2,positive
-22.865689,-43.211473,125,18.68,325.5,76.0,7.23,9.6,23.5,30.4,52.9,299.6,2.8,33.9,55.4,0.0,18.15,20.39,2.19,1,2,negative
-22.859855,-43.231834,465,22.21,216.0,63.1,5.46,18.4,25.5,24.5,53.2,205.8,3.8,35.8,19.9,0.0,11.36,27.93,3.31,1,2,positive
-22.869907,-43.218988,118,17.99,237.3,76.2,6.87,20.5,14.4,20.0,40.7,352.2,0.6,30.2,54.3,0.0,16.38,19.08,2.36,1,2,negative
-22.87128,-43.235762,361,27.35,354.3,60.0,7.7,14.1,18.2,25.2,94.6,249.7,0.5,47.7,25.0,0.0,9.06,35.98,3.64,1,2,positive
-22.859957,-43.234057,527,18.48,375.4,71.2,6.93,28.0,20.5,25.5,60.9,123.4,3.2,29.7,24.2,0.409,9.14,22.11,1.2,1,2,negative
-22.859852,-43.236733,496,28.98,635.6,83.4,7.34,15.6,19.3,29.5,85.4,85.0,0.8,47.0,55.4,0.0,7.08,35.7,5.97,1,2,positive
-22.871476,-43.248446,63,19.55,348.4,73.1,6.74,2.4,22.1,30.1,35.0,403.0,0.7,22.8,73.6,0.0,31.61,21.94,4.0,1,2,negative
-22.978827,-43.235398,371,25.42,424.8,74.7,6.64,12.2,24.6,28.1,80.8,360.5,1.5,30.6,30.2,0.0,4.66,32.63,5.74,1,2,positive
-22.977834,-43.226784,32,24.75,287.8,80.4,6.79,40.1,21.5,28.9,53.7,534.8,5.1,27.2,75.4,0.0,3.54,32.53,4.99,1,2,positive
-22.887591,-43.217368,461,28.8,290.4,68.9,6.43,8.6,29.8,24.5,63.3,337.3,3.0,36.8,62.7,0.205,20.75,38.05,3.97,1,2,positive
-22.97756,-43.225485,159,29.47,228.8,64.5,8.17,47.3,20.0,24.4,78.0,285.6,2.8,15.4,61.9,0.0,4.91,34.51,5.83,1,2,positive
-22.877526,-43.214594,207,19.53,343.4,64.7,6.23,36.6,23.5,18.2,64.1,476.5,6.6,19.5,26.3,0.0,5.88,19.33,1.94,1,2,negative
-22.86849,-43.225868,457,14.95,682.4,82.6,5.52,3.6,26.6,26.4,56.5,269.7,3.1,28.6,81.9,0.0,13.67,12.84,0.77,1,2,negative
-22.872625,-43.243928,389,27.32,374.7,77.5,6.57,11.3,28.1,23.5,43.6,394.4,3.3,21.8,37.9,0.0,4.29,34.8,1.79,1,2,positive
-22.899629,-43.39615,98,18.42,372.6,89.2,5.79,64.5,21.3,26.9,65.7,444.5,1.9,28.5,106.3,0.0,10.75,20.47,2.9,1,2,negative
-22.862573,-43.224093,125,28.27,309.8,77.4,6.11,26.5,24.7,30.0,74.1,383.9,2.3,8.7,28.7,0.252,5.0,33.85,2.71,1,2,positive
-22.862238,-43.238892,265,24.83,347.6,62.3,8.89,7.9,18.9,24.4,74.3,282.3,5.8,30.7,66.0,0.196,5.45,31.18,3.27,1,2,positive
-22.879999,-43.229003,21,26.23,504.6,68.5,8.22,12.8,26.3,20.7,62.5,128.0,4.4,28.7,78.3,0.0,13.46,33.14,2.01,1,2,positive
-22.974136,-43.22368,292,26.64,167.0,72.9,7.37,33.9,25.6,25.5,69.0,481.8,0.4,35.9,26.0,0.0,5.3,36.7,2.12,1,2,invalid
-22.985043,-43.233661,167,12.59,426.1,68.1,5.38,14.5,21.6,25.5,44.6,324.5,3.4,32.5,53.6,0.0,9.11,9.44,1.22,1,2,negative
